ghsa_stn|riv_basin|country|agency|state|agency_id|site_name|district|site_type1|agency_area|river|site_type2|agency_lat|agency_lon|basinShort|basinCode|hydrosh_pf|ghsa_locchk|ghsa_rivchk|ghsa_lmark|ghsa_lmark_lat|ghsa_lmark_lon|ghsa_lmark_dist|ghsa_reloc|ghsa_lat|ghsa_lon|ghsa_area|hydro_area|merit_lat|merit_lon|merit_area|disc_agency|disc_merit|ghsa_netchk|merit_netchk|qc1|qc2|qc3|qc4|qc5|qc6|ghsa_group
IN-maha_gunde|Mahanadi|IN|CWC|Chhattisgarh|CW1MAU000835|Gunderdehi|Balod|HO|1735|Tandula|GDSQ|20.9539|81.2936|maha|x08|PF12-4121548570|||GM, Gunderdehi town nearby|20.94542|81.294|0.94|1.0805|20.94793|81.28539|1736.5|1739.7|20.95001|81.285|1750.1|0.1|-0.8|||1|1|1|1|1|1|G1
IN-maha_jamad|Mahanadi|IN|CWC|Odisha|CW1MAM000742|Jamadarpali|Sambalpur|FF|83400|Mahanadi|G|21.5597|83.9719|maha|x08|PF12-4121019220|||GM, Jamadarpali town south|21.54094|83.96871|2.11|8.9035|21.51876|83.89792|84972.4|85194.3|21.52083|83.89835|84818.5|1.9|0.2|||1|1|1|1|1|1|G3
IN-maha_jondh|Mahanadi|IN|CWC|Chhattisgarh|CW1MAU000515|Jondhra|Bilaspur|HO|29645|Mahanadi/Seonath|GDSQ|21.7158|82.3472|maha|x08|PF12-4121013430|on Shivnath river||GM, Jondhra town north|21.73216|82.33642|2.13|0.1485|21.71457|82.34776|29714.8|29792.2|21.715|82.34667|29620.2|0.2|0.3|||1|1|1|1|1|1|G1
IN-maha_kalma|Mahanadi|IN|CWC|Chhattisgarh|CW1MAM001111|Kalma|Janjgir- Champa|HO/FF|68268|Mahanadi|GDSQ|21.6944|83.2778|maha|x08|PF12-4121542900|||GM, Kalma barrage nearby|21.69939|83.26692|1.25|0.5411|21.68958|83.27708|68342.7|68519.6|21.68667|83.27666|68210.2|0.1|0.2|||1|1|1|1|1|1|G1
IN-maha_kanas|Mahanadi|IN|CWC|Odisha|CW1MAL000800|Kanas (Seasonal)|Puri|FF|134200|Mahanadi/Daya|G|20.0022|85.6436|maha|x08|PF12-4121044750|||GM, Kanas town nearby|20.002|85.65043|0.71|0|20.0022|85.6436||1.4|19.99581|85.6325|1680.7|-1000000|-1000000|unreliable network|complex river network|1|0|0|1|1|1|G4
IN-maha_kanta|Mahanadi|IN|CWC|Odisha|CW1MAL000248|Kantamal|Boudh|HO|19600|Mahanadi/Tel|GDSQ|20.65|83.7222|maha|x08|PF12-4121032960|||GM, Kantamal town north east|20.66187|83.74475|2.69|0.2387|20.65205|83.72288|20277.6|20334.9|20.65|83.7225|20220|3.5|0.3|||1|1|1|1|1|1|G1
IN-maha_katag|Mahanadi|IN|CWC|Chhattisgarh|CW1MAM000973|Kataghora|Korba|HO|307|Ahiran|G|22.4919|82.5386|maha|x08|PF12-4121535390|on Arharan river||GM, Katghora town north|22.50687|82.54519|1.8|0.229|22.49375|82.53958|323|307.4|22.4925|82.53833|305.6|5.2|5.7|||1|1|1|1|1|1|G2
IN-maha_kathj|Mahanadi|IN|CWC|Odisha|CW1MAL000878|Kathjori Rd Bridge|Cuttack|HO|132531|Kathjori (devi)|G|20.4375|85.8872|maha|x08|PF12-4121552580|on Kathajodi river||GM, Kathajori bridge nearby|20.4375|85.8872|0|0|20.4375|85.8872||0.2|20.4375|85.8872|0|-1000000|-1000000|unreliable network|complex river network|1|0|0|1|1|1|G4
IN-maha_keloa|Mahanadi|IN|CWC|Chhattisgarh|CW1MAM000741|Kelo at Raigarh|Raigarh|FF|950|Mahanadi/Kelo|GD|21.8886|83.4|maha|x08|PF12-4121542200|||GM, Raigarh town nearby|21.89647|83.39404|1.07|0.2481|21.88972|83.40208|1137.6|1136.8|21.88829|83.40083|1113.6|19.7|2.2|||1|1|1|1|1|1|G2
IN-maha_kesin|Mahanadi|IN|CWC|Odisha|CW1MAL000428|Kesinga|Kalahandi|HO|11960|Mahanadi/Tel|GDSQ|20.2039|83.2231|maha|x08|PF12-4121553520|||GM, Kesinga town nearby|20.19023|83.21891|1.58|0.2011|20.2021|83.22291|11890.2|11920.8|20.20416|83.22334|11845.2|-0.6|0.4|||1|1|1|1|1|1|G1
IN-maha_khair|Mahanadi|IN|CWC|Odisha|CW1MAL000602|Khairmal|Boudh|FF|104400|Mahanadi|G|20.8386|84|maha|x08|PF12-4121032100|||GM, Khaeramal town west|20.82882|83.96378|3.92|0.2435|20.83959|83.99791|118237.1|118553.3|20.84333|84.00083|117990.4|13.3|0.2|||1|1|1|1|1|1|G2
IN-maha_khand|Mahanadi|IN|CWC|Odisha|CW1MAL000808|Khandapara|Nayagada|FF|1282|Mahanadi/Kusumi|G|20.2558|85.1867|maha|x08|PF12-4121039660|||GM, Khandapada town nearby|20.26408|85.17413|1.6|1.1725|20.25624|85.19793|1320.8|1321.5|20.25584|85.18833|1323.2|3|-0.2|||1|1|1|1|1|1|G1
IN-maha_kisha|Mahanadi|IN|CWC|Odisha|CW1MAL000879|Kishan Nagar|Cuttack|HO|280|Mahanadi|G|20.4286|86.0906|maha|x08|PF12-4121552050|||GM, Kishan Nagar town nearby|20.42082|86.09479|0.97|0|20.4286|86.0906||0.2|20.4286|86.0906|0|-1000000|-1000000|unreliable network|complex river network|1|0|0|1|1|1|G4
IN-maha_korba|Mahanadi|IN|CWC|Chhattisgarh|CW1MAM000615|Korba|Korba|FF|7700|Mahanadi/Hasdeo|G|22.3583|82.6875|maha|x08|PF12-4120998720|||GM, Korba town nearby|22.3583|82.73918|5.31|0.315|22.36038|82.68958|7968.1|7988|22.36004|82.68832|7945.9|3.5|0.3|||1|1|1|1|1|1|G1
IN-maha_kotni|Mahanadi|IN|CWC|Chhattisgarh|CW1MAU000421|Kotni|Durg|HO|6990|Mahanadi/Seonath|GDSQ|21.2361|81.2472|maha|x08|PF12-4121022510|||GM, Kotni town nearby|21.21315|81.26706|3.28|0.1042|21.23541|81.24788|7051|7061.4|21.23583|81.24749|7021.3|0.9|0.4|||1|1|1|1|1|1|G1
IN-maha_kurub|Mahanadi|IN|CWC|Chhattisgarh|CW1MAM000427|Kurubhata|Raigarh|HO|4625|Mahanadi/Mand|GDSQ|21.9864|83.2042|maha|x08|PF12-4121009880|||GM, Kurru Bhantha town east|21.99189|83.22286|2.02|0.235|21.98544|83.20623|4737.5|4737.8|21.98583|83.205|4728.4|2.4|0.2|||1|1|1|1|1|1|G1
IN-maha_maleg|Mahanadi|IN|CWC|Chhattisgarh|CW1MAM001151|Malegaon|Gariyaband|HO|1276|Pairi|G|20.6567|82.0389|maha|x08|PF12-4121034470|Malgaon Pairi river bridge nearby||GM, Malgaon bridge nearby|20.6567|82.0389|0|0.3645|20.65625|82.03543|1323.9|1324.3|20.65832|82.03752|1321|3.8|0.2|||1|1|1|1|1|1|G1
IN-maha_manen|Mahanadi|IN|CWC|Chhattisgarh|CW1MAM000660|Manendragarh|Koria|HO|1100|Mahanadi/Hasdeo|GDSQ|23.2036|82.2172|maha|x08|PF12-4120980180|||GM, Manendragarh town nearby|23.21587|82.19575|2.58|0.3341|23.20624|82.21876|1008.5|1008.7|23.20334|82.21666|1019.4|-8.3|-1.1|||1|1|1|1|1|1|G1
IN-maha_marsh|Mahanadi|IN|CWC|Odisha|CW1MAL000797|Marshaghai (Seasonal)|Kendrapara|FF|141830|Mahanadi/Chitrotpala|G|20.3325|86.4808|maha|x08|PF12-4121552980|||GM, Marshaghai town north|20.43387|86.4804|11.27|0|20.3325|86.4808||309.1|20.3325|86.4808|128.7|-1000000|-1000000|unreliable network|complex river network|1|0|0|1|1|1|G4
IN-maha_mohul|Mahanadi|IN|CWC|Odisha|CW1MAM000813|Mohulpali|Sambalpur|FF|406|Mahanadi/Bheden|G|21.875|84.3772|maha|x08|PF12-4121012450|||GM, Mahulpali town east|21.875|84.42779|5.22|4.2956|21.87295|84.41877|409|400|21.875|84.41747|401|0.7|2|||1|1|1|1|1|1|G1
IN-maha_naraj|Mahanadi|IN|CWC|Odisha|CW1MAL000263|Naraj|Cuttack|FF|133230|Mahanadi|G|20.475|85.775|maha|x08|PF12-4121037140|||GM, Naraj town north|20.47036|85.77435|0.52|0|20.475|85.775||2|20.475|85.775|0|-1000000|-1000000|unreliable network|complex river network|1|0|0|1|1|1|G4
IN-maha_nimap|Mahanadi|IN|CWC|Odisha|CW1MAL000512|Nimapara|Puri|FF|141230|Mahanadi/Kushabhadr|G|20.06|86.0064|maha|x08|PF12-4121555780|||GM, Nimapada town nearby|20.05446|86.0069|0.62|0|20.06|86.0064||208.7|20.05997|86.00665|9.5|-1000000|-1000000|unreliable network|complex river network|1|0|0|1|1|1|G4
IN-maha_padam|Mahanadi|IN|CWC|Odisha|CW1MAL000976|Padampur|Bargarh|HO|2420|Ong|GDSQ|21.0158|83.1031|maha|x08|PF12-4121028090|||GM, Padmapur town west|20.99904|83.06528|4.35|0.3548|21.01456|83.10625|2428.9|2435.8|21.01582|83.10499|2419.4|0.4|0.4|||1|1|1|1|1|1|G1
IN-maha_padma|Mahanadi|IN|CWC|Odisha|CW1MAL000805|Padmabati|Nayagada|FF|132750|Mahanadi|G|20.3433|85.3111|maha|x08|PF12-4121039550|||GM, Padmabati town nearby|20.3411|85.30231|0.95|0.5151|20.34788|85.31036|131086.5|131437.2|20.3425|85.31084|130833.7|-1.3|0.2|||1|1|1|1|1|1|G1
IN-maha_param|Mahanadi|IN|CWC|Odisha|CW1MAM000691|Paramanpur|Jharsuguda|FF|2120|Mahanadi/Bheden|GD|21.7728|84.0817|maha|x08|PF12-4121012430|||GM, Paramanpur town north east|21.80436|84.10327|4.16|0.0481|21.77291|84.08125|2962.9|2969.1|21.77333|84.08167|2975.3|39.8|-0.4|||1|1|1|1|1|1|G3
IN-maha_patha|Mahanadi|IN|CWC|Chhattisgarh|CW1MAU000658|Patharidih|Raipur|HO|2511|Mahanadi/Seonath/Kharun|GDQ|21.3411|81.5939|maha|x08|PF12-4121020730|||GM, Business in Patharidih found|21.34105|81.59647|0.27|0.171|21.33957|81.59373|2456.1|2458.5|21.34083|81.59332|2459.4|-2.2|-0.1|||1|1|1|1|1|1|G1
IN-maha_puban|Mahanadi|IN|CWC|Odisha|CW1MAL000796|Pubansa (Seasonal)|Kendrapara|FF|141630|Mahanadi/Luna|G|20.4636|86.2975|maha|x08|PF12-4121552040|||no landmark found||||0|20.4636|86.2975||0.2|20.47001|86.29748|134477.6|-1000000|-1000000|unreliable network|complex river network|1|0|0|1|0|1|G4
IN-maha_rajim|Mahanadi|IN|CWC|Chhattisgarh|CW1MAM000202|Rajim|Raipur|HO|8760|Mahanadi|GDSQ|20.9736|81.8783|maha|x08|PF12-4121548220|||GM, Rajim town nearby|20.96481|81.89088|1.63|0.1475|20.97292|81.87708|8455.6|8476.5|20.97251|81.8775|8414.8|-3.5|0.5|||1|1|1|1|1|1|G1
IN-maha_rampu|Mahanadi|IN|CWC|Chhattisgarh|CW1MAM000199|Rampur|Raipur|HO|2920|Mahanadi/Jonk|GDSQ|21.6517|82.5172|maha|x08|PF12-4121013960|||GM, Rampur town nearby|21.6496|82.5188|0.29|0.166|21.65209|82.51875|3410|3416.8|21.65167|82.5175|3407.3|16.8|0.1|||1|1|1|1|1|1|G2
IN-maha_saleb|Mahanadi|IN|CWC|Odisha|CW1MAL000246|Salebhata|Balangir|HO|4650|Mahanadi/Ong|GDSQ|20.9833|83.5394|maha|x08|PF12-4121028490|||GM, Salebhata town south|20.96982|83.53635|1.53|0.2309|20.98123|83.53958|4631|4634.1|20.98085|83.53917|4595.4|-0.4|0.8|||1|1|1|1|1|1|G1
IN-maha_sanka|Mahanadi|IN|CWC|Chhattisgarh|CW1MAM000652|Sankara|Mahasamud|FF|2300|Mahanadi/Jonk|G|21.2875|82.6506|maha|x08|PF12-4121021550|||GM, Sankra or Sankara town east|21.28398|82.66546|1.59|0.3582|21.28542|82.64796|2262.3|2264.1|21.28667|82.65083|2259.4|-1.6|0.1|||1|1|1|1|1|1|G1
IN-maha_saran|Mahanadi|IN|CWC|Chhattisgarh|CW1MAM000977|Sarangpal|Kanker|HO|2022|Mahanadi|G|20.3128|81.5319|maha|x08|PF12-4121039970|||GM, Sarangpal town south|20.30009|81.52393|1.64|0.8186|20.30621|81.5354|1677.9|1682.8|20.3125|81.5325|1667.4|-17|0.6|||1|1|1|1|1|1|G2
IN-maha_seori|Mahanadi|IN|CWC|Chhattisgarh|CW1MAM000629|Seorinarayan|Janjgir- champa|HO|48050|Mahanadi|GDSQ|21.7167|82.5967|maha|x08|PF12-4121013630|||GM, Shivrinarayan town nearby|21.72097|82.59408|0.55|0.2713|21.71458|82.598|47895.9|48023.9|21.71581|82.59668|47779.8|-0.3|0.2|||1|1|1|1|1|1|G1
IN-maha_simga|Mahanadi|IN|CWC|Chhattisgarh|CW1MAU000247|Simga|Raipur|HO|30761|Mahanadi/Seonath|GDSQ|21.6256|81.6931|maha|x08|PF12-4121543130|||GM, Simga town nearby|21.62762|81.70381|1.13|0.3042|21.62293|81.69374|16831.9|16873.6|21.62499|81.69251|16803.4|-45.3|0.2|||1|1|1|1|1|1|G3
IN-maha_sunde|Mahanadi|IN|CWC|Odisha|CW1MAM000413|Sundergarh|Sundergarh|HO|5870|Mahanadi/Ib|GDSQ|22.1153|84.0111|maha|x08|PF12-4121005800|||GM, Sundargarh town north east|22.12332|84.03684|2.8|0.1156|22.11448|84.01041|5891.5|5904.2|22.11583|84.01|5869.4|0.4|0.4|||1|1|1|1|1|1|G1
IN-maha_suraj|Mahanadi|IN|CWC|Chhattisgarh|CW1MAM000682|Surajgarh|Raigarh|FF|67575|Mahanadi|G|22.6681|83.9083|maha|x08|PF12-4120991470|uncertain location; too close to Thetta Tangar station||no landmark found||||0|22.6681|83.9083||0.2|22.6681|83.9083|0|-1000000|-1000000|||1|1|1|0|0|1|G4
IN-maha_tarap|Mahanadi|IN|CWC|Odisha|CW1MAL000880|Tarapur|Jagatsinghpur|HO|132566|Mahanadi|G|20.3575|86.2294|maha|x08|PF12-4121552770|||GM, Tarapur town nearby|20.35478|86.22863|0.31|0|20.3575|86.2294||0.2|20.3575|86.2294|0|-1000000|-1000000|unreliable network|complex river network|1|0|0|1|1|1|G4
IN-maha_thett|Mahanadi|IN|CWC|Chhattisgarh|CW1MAM000657|Thettatanagar|Jaspurnagar|FF|2500|Mahanadi/Ib|G|22.6675|83.9083|maha|x08|PF12-4120991090|||GM, Thethe Tangar town east|22.67155|83.92738|2.01|0.6383|22.67291|83.90622|1473.3|1477|22.66833|83.90917|1461.1|-41.1|0.8|||1|1|1|1|1|1|G3
IN-maha_tikar|Mahanadi|IN|CWC|Odisha|CW1MAL000205|Tikarapara|Angul|HO|124450|Mahanadi|GDSQ|20.5894|84.7833|maha|x08|PF12-4121036950|||GM, Tikarpada town north|20.61427|84.78919|2.83|0.2204|20.58956|84.78541|126638.3|126979.1|20.58918|84.78333|126406.4|1.8|0.2|||1|1|1|1|1|1|G1
IN-mahi_amarp|Mahi|IN|CWC|Rajasthan|CW1MHU001006|Amarpura|Udaipur|HO|472|Som|G|24.2875|73.8464|mahi|x10|PF12-4120947970||on Tiri river|GM, Amarpura police station north west|24.29804|73.83412|1.71|0.2796|24.28958|73.84795|568.2|569.2|24.2875|73.84666|556.7|20.4|2.1|||1|1|1|1|1|0|G4
IN-mahi_anasp|Mahi|IN|CWC|Rajasthan|CW1MHU000570|Anas PH-II|Banswara|FF|4650|Mahi/Anas|G|23.3536|74.2336|mahi|x10|PF12-4120971290|||GM, Anas Power Hourse 2 nearby|23.35628|74.23568|0.37|0.3483|23.35625|74.23542|5263.7|5274.4|23.35333|74.23417|5270.9|13.2|-0.1|||1|1|1|1|1|1|G2
IN-mahi_borwa|Mahi|IN|CWC|Madhya Pradesh|CW1MHU000986|Borwa|Ratlam|HO|3070|Mahi|G|23.2161|74.78|mahi|x10|PF12-4120976080|||GM, Borwa town south east|23.1988|74.80052|2.85|0.2121|23.21457|74.78124|3147.7|3149.2|23.21586|74.77916|3052.4|2.5|3.1|||1|1|1|1|1|1|G1
IN-mahi_chaka|Mahi|IN|CWC|Gujarat|CW1MHU000718|Chakaliya|Dahod|HO|3121|Mahi/Anas|GD|23.0542|74.3197|mahi|x10|PF12-4120980380|||GM, Chakaliya town west|23.05235|74.29997|2.03|0.2482|23.05625|74.31874|3578.1|3564.8|23.05415|74.32|3553.2|14.6|0.7|||1|1|1|1|1|1|G2
IN-mahi_dhari|Mahi|IN|CWC|Rajasthan|CW1MHU000608|Dhariawad|Udaipur|FF|1510|Mahi/Som/Jakham|GD|24.0867|74.4756|mahi|x10|PF12-4120952290|||GM, Dhariyawad town west|24.09938|74.44184|3.71|0.3056|24.08543|74.47293|1254.5|1252.8|24.08666|74.47583|1240.1|-16.9|1.2|||1|1|1|1|1|1|G2
IN-mahi_jaisa|Mahi|IN|CWC|Rajasthan||Jaisamand|Udaipur|FF||Mahi/Som/Gomti|G|24.2392|73.9772|mahi|x10|PF12-4120947980|||GM, Jaisamand town west|24.24295|73.94849|2.94|2.5504|24.23959|73.95205||1838.4|24.24|73.95165|1818.8|-1000000|-1000000|||0|1|1|1|1|1|G4
IN-mahi_kadan|Mahi|IN|CWC|Gujarat|CW1MHL000496|Kadana Dam|Panchamahal|FF|25520|Mahi|G|23.3064|73.8253|mahi|x10|PF12-4120975120|||GM, Kadana dam nearby|23.3064|73.8253|0|0.1826|23.30624|73.82708|25970.7|26025.3|23.30583|73.82666|25943.3|1.8|0.1|||1|1|1|1|1|1|G1
IN-mahi_khand|Mahi|IN|CWC|Rajasthan|CW1MHU001005|Khandiovari|Udaipur|HO|1136|Som/Gomti|GD|24.0114|73.6642|mahi|x10|PF12-4120955860|||GM, Khandi Ovri town south west|24.00325|73.64324|2.31|0.1177|24.0104|73.66458|1194|1192.5|24.01081|73.66336|1185.2|5.1|0.7|||1|1|1|1|1|1|G1
IN-mahi_khanp|Mahi|IN|CWC|Gujarat|CW1MHL000506|Khanpur|Anand|HO|32510|Mahi|GDSQ|22.5347|73.1408|mahi|x10|PF12-4121535590|||GM, Khanpur town nearby|22.53682|73.13638|0.51|0.3149|22.53544|73.14376|33187|33261.7|22.53418|73.14083|32916.1|2.1|0.8|||1|1|1|1|1|1|G1
IN-mahi_labri|Mahi|IN|CWC|Madhya Pradesh||Labriya|Dhar|FF||Mahi|G|22.8767|74.9875|mahi|x10|PF12-4121530130|||GM, Labariya town east|22.86641|75.02565|4.07|0.2172|22.87708|74.98542||936.1|22.87745|74.9875|939.1|-1000000|-1000000|||0|1|1|1|1|1|G4
IN-mahi_mahid|Mahi|IN|CWC|Rajasthan|CW1MHU000571|Mahi Dam|Banswara|FF|6149|Mahi|G|23.6286|74.5472|mahi|x10|PF12-4121519240|||GM, Mahi Dam nearby|23.6286|74.5472|0|0.1838|23.62708|74.54791|6233.1|6246.2|23.62834|74.545|6239.6|1.4|-0.1|||1|1|1|1|1|1|G1
IN-mahi_mataj|Mahi|IN|CWC|Madhya Pradesh|CW1MHU000575|Mataji|Ratlam|HO|3880|Mahi|GDSQ|23.3497|74.7181|mahi|x10|PF12-4120973390|||GM, Mataji town nearby|23.35372|74.72816|1.12|0.5311|23.34788|74.72291|3736.7|3746.1|23.35|74.71834|3729.3|-3.7|0.2|||1|1|1|1|1|1|G1
IN-mahi_pader|Mahi|IN|CWC|Rajasthan|CW1MHU000420|Paderdibadi|Dungarpur|HO/FF|16247|Mahi|GDSQ|23.7675|74.1367|mahi|x10|PF12-4120965920|||GM, Padardi Badi town nearby|23.76665|74.12307|1.39|0.3492|23.76459|74.13541|16370.4|16405.1|23.7675|74.13583|16342.6|0.8|0.2|||1|1|1|1|1|1|G1
IN-mahi_panam|Mahi|IN|CWC|Gujarat|CW1MHL000546|Panam Dam|Panchamahal|FF|2314|Mahi/Panam|G|23.0539|73.7167|mahi|x10|PF12-4121528020|||GM, Panam Dam nearby|23.0539|73.7167|0|0.3379|23.05623|73.71458|2363|2360.2|23.055|73.71666|2348.3|2.1|0.6|||1|1|1|1|1|1|G1
IN-mahi_pinga|Mahi|IN|CWC|Gujarat|CW1MHL000680|Pingalwada|Vadodara|HO|2400|Dhadhar (Independent river)|GDQ|22.1103|73.0789|mahi|x10|PF12-4121539090||on Vishwamitri river|GM, Pingalwada town east|22.1133|73.08984|1.18|0.1889|22.1104|73.07707|2542.1|2545.8|22.11083|73.07833|2426|5.9|4.8|||1|1|1|1|1|1|G1
IN-mahi_range|Mahi|IN|CWC|Rajasthan|CW1MHU000490|Rangeli|Dungarpur|HO|8329|Mahi/som|GDQ|23.8728|74.2236|mahi|x10|PF12-4120960150|||GM, Rangeli town nearby|23.86701|74.21646|0.97|0.0754|23.87292|74.22287|8527.6|8544.3|23.8725|74.22334|8521.2|2.4|0.1|||1|1|1|1|1|1|G1
IN-mahi_sohag|Mahi|IN|CWC|Rajasthan|CW1MHU000984|Sohagpura|Pratapgarh|HO|183|Telni|GD|23.9183|74.7003|mahi|x10|PF12-4121517870||unable to verify|GM, Sohagpura town nearby|23.91877|74.70772|0.76|0.1864|23.91874|74.70207|225.6|215.6|23.91833|74.70083|207|23.3|9|||1|1|1|1|1|0|G4
